station,valid,lon,lat,tmpc,drct,sknt
SOA,2011-02-01 00:45,-100.6486,30.5857,21.00,170.00,6.00
ERV,2011-02-01 00:45,-99.0855,29.9767,19.00,120.00,6.00
BPG,2011-02-01 00:46,-101.5216,32.2126,10.60,40.00,27.00
RYW,2011-02-01 00:46,-97.9659,30.4967,21.00,120.00,5.00
DHT,2011-02-01 00:46,-102.5473,36.0226,-7.00,20.00,19.00
SNK,2011-02-01 00:46,-100.9505,32.6934,4.00,30.00,25.00
5C1,2011-02-01 00:46,-98.6946,29.7239,19.00,140.00,11.00
BYY,2011-02-01 00:47,-95.8634,28.9733,19.00,110.00,9.00
HHF,2011-02-01 00:47,-100.4040,35.8950,-4.90,20.00,18.00
PYX,2011-02-01 00:47,-100.7500,36.4140,-7.70,360.00,20.00
LBB,2011-02-01 00:47,-101.8228,33.6636,-2.00,40.00,24.00
GTU,2011-02-01 00:47,-97.6767,30.6808,21.00,130.00,5.00
MAF,2011-02-01 00:48,-102.2075,31.9466,12.00,50.00,25.00
UVA,2011-02-01 00:48,-99.7436,29.2113,22.70,110.00,11.00
MNZ,2011-02-01 00:48,-98.1486,31.6659,15.00,70.00,5.00
PEZ,2011-02-01 00:48,-98.5200,28.9542,20.60,120.00,12.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
TYR,2011-02-01 00:49,-95.4024,32.3541,15.00,60.00,5.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
PSN,2011-02-01 00:49,-95.7063,31.7797,17.50,70.00,8.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
PEQ,2011-02-01 00:49,-103.5100,31.3800,18.00,340.00,4.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
NGP,2011-02-01 00:49,-97.2911,27.6926,20.00,130.00,11.00
HQZ,2011-02-01 00:50,-96.5304,32.7470,12.00,10.00,5.00
JSO,2011-02-01 00:50,-95.2200,31.8700,16.00,80.00,4.00
ACT,2011-02-01 00:51,-97.2283,31.6180,15.00,40.00,6.00
BAZ,2011-02-01 00:51,-98.0450,29.7090,20.60,170.00,12.00
BGD,2011-02-01 00:51,-101.3937,35.7009,-6.10,20.00,16.00
HDO,2011-02-01 00:51,-99.1742,29.3594,21.70,140.00,14.00
ATT,2011-02-01 00:51,-97.7601,30.3208,22.20,150.00,6.00
CRP,2011-02-01 00:51,-97.5128,27.7731,20.00,140.00,16.00
CRP,2011-02-01 00:51,-97.5128,27.7731,20.00,140.00,16.00
CRP,2011-02-01 00:51,-97.5128,27.7731,20.00,140.00,16.00
ELP,2011-02-01 00:51,-106.3758,31.8111,10.00,250.00,22.00
FWS,2011-02-01 00:51,-97.3033,32.5730,11.00,10.00,8.00
JCT,2011-02-01 00:51,-99.7664,30.5108,19.40,120.00,7.00
VCT,2011-02-01 00:51,-96.9303,28.8614,20.00,130.00,9.00
GDP,2011-02-01 00:51,-104.8098,31.8331,8.30,240.00,27.00
SJT,2011-02-01 00:51,-100.4950,31.3517,21.10,160.00,7.00
HRL,2011-02-01 00:52,-97.6544,26.2285,21.70,130.00,11.00
SPS,2011-02-01 00:52,-98.4928,33.9786,3.30,20.00,25.00
GLS,2011-02-01 00:52,-94.8604,29.2653,15.00,100.00,11.00
NFW,2011-02-01 00:52,-97.4365,32.7810,9.40,20.00,8.00
ABI,2011-02-01 00:52,-99.6821,32.4106,7.80,10.00,10.00
FST,2011-02-01 00:53,-102.9167,30.9119,19.40,240.00,10.00
MFE,2011-02-01 00:53,-98.2386,26.1758,22.20,130.00,14.00
MWL,2011-02-01 00:53,-98.0602,32.7816,7.80,30.00,11.00
DFW,2011-02-01 00:53,-97.0380,32.8968,10.00,20.00,13.00
MAF,2011-02-01 00:53,-102.2075,31.9466,11.70,60.00,26.00
PIL,2011-02-01 00:53,-97.3378,26.1597,21.10,130.00,10.00
CRS,2011-02-01 00:53,-96.4000,32.0300,15.60,60.00,4.00
AFW,2011-02-01 00:53,-97.3179,32.9716,8.30,30.00,9.00
CLL,2011-02-01 00:53,-96.3639,30.5881,21.70,120.00,8.00
LVJ,2011-02-01 00:53,-95.2400,29.5200,16.70,90.00,6.00
LBB,2011-02-01 00:53,-101.8228,33.6636,-1.70,40.00,20.00
BPT,2011-02-01 00:53,-94.0200,29.9500,16.10,120.00,12.00
SGR,2011-02-01 00:53,-95.6565,29.6223,18.90,130.00,13.00
SAT,2011-02-01 00:53,-98.4698,29.5337,20.60,150.00,16.00
SSF,2011-02-01 00:53,-98.4711,29.3370,21.70,140.00,13.00
CDS,2011-02-01 00:53,-100.2881,34.4339,-1.10,30.00,18.00
PSX,2011-02-01 00:53,-96.2500,28.7300,18.30,120.00,12.00
AUS,2011-02-01 00:53,-97.6699,30.1945,21.70,150.00,12.00
BMQ,2011-02-01 00:53,-98.2386,30.7389,18.90,120.00,5.00
ALI,2011-02-01 00:53,-98.0269,27.7409,20.00,130.00,12.00
TYR,2011-02-01 00:53,-95.4024,32.3541,15.00,70.00,4.00
DTO,2011-02-01 00:53,-97.1989,33.2061,7.20,20.00,10.00
DWH,2011-02-01 00:53,-95.5562,30.0680,17.80,140.00,11.00
COT,2011-02-01 00:53,-99.2183,28.4567,22.20,120.00,16.00
6R6,2011-02-01 00:53,-102.2129,30.0460,16.70,90.00,4.00
RKP,2011-02-01 00:53,-97.0464,28.0836,18.90,130.00,12.00
GKY,2011-02-01 00:53,-97.0943,32.6639,11.10,10.00,11.00
